id,code,name,account_type,reconcile,chart_template_id/id
na_account_account_11111,11111,Developed Land,asset_fixed,False,l10n_na.na_chart_template
na_account_account_11112,11112,Undeveloped Land,asset_fixed,False,l10n_na.na_chart_template
na_account_account_11113,11113,Agricultural Land,asset_fixed,False,l10n_na.na_chart_template
na_account_account_11114,11114,Land Held For Development,asset_fixed,False,l10n_na.na_chart_template
na_account_account_111151,111151,Landfill,asset_fixed,False,l10n_na.na_chart_template
na_account_account_111152,111152,Other Land With Limited Life,asset_fixed,False,l10n_na.na_chart_template
na_account_account_111161,111161,Mining Properties And Mineral Rights,asset_fixed,False,l10n_na.na_chart_template
na_account_account_111162,111162,Mine Development,asset_fixed,False,l10n_na.na_chart_template
na_account_account_111163,111163,Drilling Rights,asset_fixed,False,l10n_na.na_chart_template
na_account_account_111164,111164,Oil Deposits,asset_fixed,False,l10n_na.na_chart_template
na_account_account_111165,111165,Gas Deposits,asset_fixed,False,l10n_na.na_chart_template
na_account_account_111166,111166,Coal Deposits,asset_fixed,False,l10n_na.na_chart_template
na_account_account_111167,111167,Mineral Deposits,asset_fixed,False,l10n_na.na_chart_template
na_account_account_111168,111168,Other Deposits,asset_fixed,False,l10n_na.na_chart_template
na_account_account_111169,111169,Other Land Subject To Deletion,asset_fixed,False,l10n_na.na_chart_template
na_account_account_1121,1121,"Manufacturing, Production And Service Facilities",asset_fixed,False,l10n_na.na_chart_template
na_account_account_1122,1122,"Barns, Silos And Other Agricultural Buildings",asset_fixed,False,l10n_na.na_chart_template
na_account_account_1123,1123,Warehouses And Storage Facilities,asset_fixed,False,l10n_na.na_chart_template
na_account_account_1124,1124,Storefronts And Showrooms,asset_fixed,False,l10n_na.na_chart_template
na_account_account_1125,1125,"Office Buildings, Research Facilities",asset_fixed,False,l10n_na.na_chart_template
na_account_account_1126,1126,Building Improvements,asset_fixed,False,l10n_na.na_chart_template
